127.0.0.1 - - [12/Nov/2020:00:27:02 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:29:49 +0700] "GET /ClothesShop/requestlogout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:31:42 +0700] "GET /ClothesShop/ HTTP/1.1" 200 33743
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:31:42 +0700] "GET /ClothesShop/resources/images/icons/favicon.png HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:31:43 +0700] "GET /ClothesShop/requestAccount HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:31:48 +0700] "GET /ClothesShop/resources/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:32:42 +0700] "GET /ClothesShop/requestlogin?username=phuocnha&pass_word=1&request= HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:32:42 +0700] "GET /ClothesShop/requestlogin?username=phuocnha&pass_word=1&request= HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:33:33 +0700] "GET /ClothesShop/ HTTP/1.1" 200 33743
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:33:34 +0700] "GET /ClothesShop/resources/images/icons/favicon.png HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:33:38 +0700] "GET /ClothesShop/ HTTP/1.1" 200 33743
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:33:38 +0700] "GET /ClothesShop/resources/images/icons/favicon.png HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:33:42 +0700] "GET /ClothesShop/requestlogin?username=phuocnha&pass_word=1&request= HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:34:26 +0700] "GET /ClothesShop/requestlogin?username=phuocnha&pass_word=1&request= HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:36:30 +0700] "GET /ClothesShop/ HTTP/1.1" 200 33743
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:36:31 +0700] "GET /ClothesShop/resources/images/icons/favicon.png HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:36:33 +0700] "GET /ClothesShop/requestlogin?username=phuocnha&pass_word=1&request= HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:36:39 +0700] "GET /ClothesShop/ HTTP/1.1" 200 33779
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:36:39 +0700] "GET /ClothesShop/resources/images/icons/favicon.png HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:36:40 +0700] "GET /ClothesShop/requestlogout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:36:44 +0700] "GET /ClothesShop/requestlogin?username=phuocnha&pass_word=1&request= HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:36:47 +0700] "GET /ClothesShop/ HTTP/1.1" 200 33779
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:36:47 +0700] "GET /ClothesShop/resources/images/icons/favicon.png HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:36:48 +0700] "GET /ClothesShop/requestAccount HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:36:48 +0700] "GET /ClothesShop/getAccountView/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:36:48 +0700] "GET /ClothesShop/requestAccount HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:36:48 +0700] "GET /ClothesShop/getAccountView/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:36:59 +0700] "GET /ClothesShop/requestAccount HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:36:59 +0700] "GET /ClothesShop/getAccountView/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:00 +0700] "GET /ClothesShop/ HTTP/1.1" 200 33779
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:01 +0700] "GET /ClothesShop/resources/images/icons/favicon.png HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:02 +0700] "GET /ClothesShop/requestlogout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:06 +0700] "GET /ClothesShop/requestlogin?username=phuocnha&pass_word=1&request= HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:06 +0700] "GET /ClothesShop/requestlogin?username=phuocnha&pass_word=1&request= HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:14 +0700] "GET /ClothesShop/ HTTP/1.1" 200 33779
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:15 +0700] "GET /ClothesShop/resources/images/icons/favicon.png HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:16 +0700] "GET /ClothesShop/requestAccount HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:16 +0700] "GET /ClothesShop/requestAccount HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/getAccountView HTTP/1.1" 200 22454
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/getAccountView HTTP/1.1" 200 22454
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/requestAccount HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/requestAccount HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/getAccountView HTTP/1.1" 200 22454
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/getAccountView HTTP/1.1" 200 22454
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/requestAccount HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/requestAccount HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/getAccountView HTTP/1.1" 200 22454
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/getAccountView HTTP/1.1" 200 22454
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/requestAccount HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/requestAccount HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/getAccountView HTTP/1.1" 200 22454
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/getAccountView HTTP/1.1" 200 22454
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/requestAccount HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/requestAccount HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/getAccountView HTTP/1.1" 200 22454
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/getAccountView HTTP/1.1" 200 22454
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/requestAccount HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/requestAccount HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/getAccountView HTTP/1.1" 200 22454
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/getAccountView HTTP/1.1" 200 22454
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/requestAccount HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/requestAccount HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/getAccountView HTTP/1.1" 200 22454
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/getAccountView HTTP/1.1" 200 22454
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/requestAccount HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/requestAccount HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/getAccountView HTTP/1.1" 200 22454
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/getAccountView HTTP/1.1" 200 22454
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/requestAccount HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/getAccountView HTTP/1.1" 200 22454
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/requestAccount HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/requestAccount HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/getAccountView HTTP/1.1" 200 22454
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/getAccountView HTTP/1.1" 200 22454
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/requestAccount HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/requestAccount HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/getAccountView HTTP/1.1" 200 22454
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/getAccountView HTTP/1.1" 200 22454
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/requestAccount HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/getAccountView HTTP/1.1" 200 22454
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/requestAccount HTTP/1.1" 302 -
